"Показник","Територіальний розріз","Період","Значення cпостереження"
"Середній вік населення станом на 1 січня","Київська","2004","42.2"
"Середній вік населення станом на 1 січня","Київська","2005","42.3"
"Середній вік населення станом на 1 січня","Київська","2006","42.5"
"Середній вік населення станом на 1 січня","Київська","2007","42.6"
"Середній вік населення станом на 1 січня","Київська","2008","42.7"
"Середній вік населення станом на 1 січня","Київська","2009","42.8"
"Середній вік населення станом на 1 січня","Київська","2010","42.8"
"Середній вік населення станом на 1 січня","Київська","2011","42.8"
"Середній вік населення станом на 1 січня","Київська","2012","42.9"
"Середній вік населення станом на 1 січня","Київська","2013","42.9"
"Середній вік населення станом на 1 січня","Київська","2014","42.9"
"Середній вік населення станом на 1 січня","Київська","2015","42.8"
"Середній вік населення станом на 1 січня","Київська","2016","42.8"
"Середній вік населення станом на 1 січня","Київська","2017","42.8"
"Середній вік населення станом на 1 січня","Київська","2018","42.8"
"Середній вік населення станом на 1 січня","Київська","2019","42.8"
"Середній вік населення станом на 1 січня","Київська","2020","42.8"
"Середній вік населення станом на 1 січня","Київська","2021","42.8"
"Середній вік населення станом на 1 січня","Київська","2022","42.6"
"Середній вік населення станом на 1 січня","Київська","2003","36.5"
"Середній вік населення станом на 1 січня","Київська","2004","36.7"
"Середній вік населення станом на 1 січня","Київська","2005","36.9"
"Середній вік населення станом на 1 січня","Київська","2006","37"
"Середній вік населення станом на 1 січня","Київська","2007","37.1"
"Середній вік населення станом на 1 січня","Київська","2008","37.2"
"Середній вік населення станом на 1 січня","Київська","2009","37.2"
"Середній вік населення станом на 1 січня","Київська","2010","37.3"
"Середній вік населення станом на 1 січня","Київська","2011","37.3"
"Середній вік населення станом на 1 січня","Київська","2012","37.4"
"Середній вік населення станом на 1 січня","Київська","2013","37.4"
"Середній вік населення станом на 1 січня","Київська","2014","37.4"
"Середній вік населення станом на 1 січня","Київська","2015","37.4"
"Середній вік населення станом на 1 січня","Київська","2016","37.4"
"Середній вік населення станом на 1 січня","Київська","2017","37.5"
"Середній вік населення станом на 1 січня","Київська","2018","37.6"
"Середній вік населення станом на 1 січня","Київська","2019","37.6"
"Середній вік населення станом на 1 січня","Київська","2020","37.6"
"Середній вік населення станом на 1 січня","Київська","2021","37.6"
"Середній вік населення станом на 1 січня","Київська","2022","37.4"
"Середній вік населення станом на 1 січня","Київська","2003","39.4"
"Середній вік населення станом на 1 січня","Київська","2004","39.6"
"Середній вік населення станом на 1 січня","Київська","2005","39.8"
"Середній вік населення станом на 1 січня","Київська","2006","40"
"Середній вік населення станом на 1 січня","Київська","2007","40.1"
"Середній вік населення станом на 1 січня","Київська","2008","40.2"
"Середній вік населення станом на 1 січня","Київська","2009","40.2"
"Середній вік населення станом на 1 січня","Київська","2010","40.3"
"Середній вік населення станом на 1 січня","Київська","2011","40.3"
"Середній вік населення станом на 1 січня","Київська","2012","40.3"
"Середній вік населення станом на 1 січня","Київська","2013","40.3"
"Середній вік населення станом на 1 січня","Київська","2014","40.4"
"Середній вік населення станом на 1 січня","Київська","2015","40.3"
"Середній вік населення станом на 1 січня","Київська","2016","40.3"
"Середній вік населення станом на 1 січня","Київська","2017","40.4"
"Середній вік населення станом на 1 січня","Київська","2018","40.4"
"Середній вік населення станом на 1 січня","Київська","2019","40.4"
"Середній вік населення станом на 1 січня","Київська","2020","40.4"
"Середній вік населення станом на 1 січня","Київська","2021","40.4"
"Середній вік населення станом на 1 січня","Київська","2022","40.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2003","42.4"
"Середній вік населення станом на 1 січня","Кіровоградська","2004","42.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2005","42.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2006","42.9"
"Середній вік населення станом на 1 січня","Кіровоградська","2007","43.1"
"Середній вік населення станом на 1 січня","Кіровоградська","2008","43.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2009","43.4"
"Середній вік населення станом на 1 січня","Кіровоградська","2010","43.6"
"Середній вік населення станом на 1 січня","Кіровоградська","2011","43.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2012","43.8"
"Середній вік населення станом на 1 січня","Кіровоградська","2013","43.9"
"Середній вік населення станом на 1 січня","Кіровоградська","2014","44"
"Середній вік населення станом на 1 січня","Кіровоградська","2015","44.1"
"Середній вік населення станом на 1 січня","Кіровоградська","2016","44.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2017","44.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2018","44.6"
"Середній вік населення станом на 1 січня","Кіровоградська","2019","44.8"
"Середній вік населення станом на 1 січня","Кіровоградська","2020","45.1"
"Середній вік населення станом на 1 січня","Кіровоградська","2021","45.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2022","45.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2003","37.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2004","37.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2005","37.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2006","37.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2007","37.9"
"Середній вік населення станом на 1 січня","Кіровоградська","2008","38"
"Середній вік населення станом на 1 січня","Кіровоградська","2009","38.1"
"Середній вік населення станом на 1 січня","Кіровоградська","2010","38.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2011","38.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2012","38.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2013","38.4"
"Середній вік населення станом на 1 січня","Кіровоградська","2014","38.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2015","38.6"
"Середній вік населення станом на 1 січня","Кіровоградська","2016","38.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2017","38.8"
"Середній вік населення станом на 1 січня","Кіровоградська","2018","39"
"Середній вік населення станом на 1 січня","Кіровоградська","2019","39.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2020","39.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2021","39.6"
"Середній вік населення станом на 1 січня","Кіровоградська","2022","39.8"
"Середній вік населення станом на 1 січня","Кіровоградська","2003","40"
"Середній вік населення станом на 1 січня","Кіровоградська","2004","40.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2005","40.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2006","40.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2007","40.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2008","40.9"
"Середній вік населення станом на 1 січня","Кіровоградська","2009","41"
"Середній вік населення станом на 1 січня","Кіровоградська","2010","41.1"
"Середній вік населення станом на 1 січня","Кіровоградська","2011","41.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2012","41.3"
"Середній вік населення станом на 1 січня","Кіровоградська","2013","41.4"
"Середній вік населення станом на 1 січня","Кіровоградська","2014","41.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2015","41.6"
"Середній вік населення станом на 1 січня","Кіровоградська","2016","41.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2017","41.8"
"Середній вік населення станом на 1 січня","Кіровоградська","2018","42"
"Середній вік населення станом на 1 січня","Кіровоградська","2019","42.2"
"Середній вік населення станом на 1 січня","Кіровоградська","2020","42.5"
"Середній вік населення станом на 1 січня","Кіровоградська","2021","42.7"
"Середній вік населення станом на 1 січня","Кіровоградська","2022","42.8"
"Середній вік населення станом на 1 січня","Луганська","2003","42.6"
"Середній вік населення станом на 1 січня","Луганська","2004","42.9"
"Середній вік населення станом на 1 січня","Луганська","2005","43.1"
"Середній вік населення станом на 1 січня","Луганська","2006","43.4"
"Середній вік населення станом на 1 січня","Луганська","2007","43.6"
"Середній вік населення станом на 1 січня","Луганська","2008","43.9"
"Середній вік населення станом на 1 січня","Луганська","2009","44"
"Середній вік населення станом на 1 січня","Луганська","2010","44.2"
"Середній вік населення станом на 1 січня","Луганська","2011","44.4"
"Середній вік населення станом на 1 січня","Луганська","2012","44.6"
"Середній вік населення станом на 1 січня","Луганська","2013","44.8"
"Середній вік населення станом на 1 січня","Луганська","2014","45"
"Середній вік населення станом на 1 січня","Луганська","2015","45.5"
"Середній вік населення станом на 1 січня","Луганська","2016","46.3"
"Середній вік населення станом на 1 січня","Луганська","2017","47"
"Середній вік населення станом на 1 січня","Луганська","2018","47.8"
"Середній вік населення станом на 1 січня","Луганська","2019","48.5"
"Середній вік населення станом на 1 січня","Луганська","2020","49.2"
"Середній вік населення станом на 1 січня","Луганська","2021","49.9"
"Середній вік населення станом на 1 січня","Луганська","2022","50.6"
"Середній вік населення станом на 1 січня","Луганська","2003","37.6"
"Середній вік населення станом на 1 січня","Луганська","2004","37.8"
"Середній вік населення станом на 1 січня","Луганська","2005","38"
"Середній вік населення станом на 1 січня","Луганська","2006","38.2"
"Середній вік населення станом на 1 січня","Луганська","2007","38.4"
"Середній вік населення станом на 1 січня","Луганська","2008","38.6"
"Середній вік населення станом на 1 січня","Луганська","2009","38.7"
"Середній вік населення станом на 1 січня","Луганська","2010","38.8"
"Середній вік населення станом на 1 січня","Луганська","2011","39"
"Середній вік населення станом на 1 січня","Луганська","2012","39.1"
"Середній вік населення станом на 1 січня","Луганська","2013","39.3"
"Середній вік населення станом на 1 січня","Луганська","2014","39.4"
"Середній вік населення станом на 1 січня","Луганська","2015","39.9"
"Середній вік населення станом на 1 січня","Луганська","2016","40.7"
"Середній вік населення станом на 1 січня","Луганська","2017","41.3"
"Середній вік населення станом на 1 січня","Луганська","2018","42"
"Середній вік населення станом на 1 січня","Луганська","2019","42.7"
"Середній вік населення станом на 1 січня","Луганська","2020","43.4"
"Середній вік населення станом на 1 січня","Луганська","2021","44.1"
"Середній вік населення станом на 1 січня","Луганська","2022","44.8"
"Середній вік населення станом на 1 січня","Луганська","2003","40.3"
"Середній вік населення станом на 1 січня","Луганська","2004","40.5"
"Середній вік населення станом на 1 січня","Луганська","2005","40.8"
"Середній вік населення станом на 1 січня","Луганська","2006","41"
"Середній вік населення станом на 1 січня","Луганська","2007","41.2"
"Середній вік населення станом на 1 січня","Луганська","2008","41.5"
"Середній вік населення станом на 1 січня","Луганська","2009","41.6"
"Середній вік населення станом на 1 січня","Луганська","2010","41.8"
"Середній вік населення станом на 1 січня","Луганська","2011","41.9"
"Середній вік населення станом на 1 січня","Луганська","2012","42.1"
"Середній вік населення станом на 1 січня","Луганська","2013","42.3"
"Середній вік населення станом на 1 січня","Луганська","2014","42.4"
"Середній вік населення станом на 1 січня","Луганська","2015","43"
"Середній вік населення станом на 1 січня","Луганська","2016","43.7"
"Середній вік населення станом на 1 січня","Луганська","2017","44.4"
"Середній вік населення станом на 1 січня","Луганська","2018","45.1"
"Середній вік населення станом на 1 січня","Луганська","2019","45.8"
"Середній вік населення станом на 1 січня","Луганська","2020","46.5"
"Середній вік населення станом на 1 січня","Луганська","2021","47.3"
"Середній вік населення станом на 1 січня","Луганська","2022","47.9"
"Середній вік населення станом на 1 січня","Львівська","2003","39.8"
"Середній вік населення станом на 1 січня","Львівська","2004","40"
"Середній вік населення станом на 1 січня","Львівська","2005","40.2"
"Середній вік населення станом на 1 січня","Львівська","2006","40.4"
"Середній вік населення станом на 1 січня","Львівська","2007","40.6"
"Середній вік населення станом на 1 січня","Львівська","2008","40.8"
"Середній вік населення станом на 1 січня","Львівська","2009","40.9"
"Середній вік населення станом на 1 січня","Львівська","2010","41.1"
"Середній вік населення станом на 1 січня","Львівська","2011","41.2"
"Середній вік населення станом на 1 січня","Львівська","2012","41.4"
"Середній вік населення станом на 1 січня","Львівська","2013","41.5"
"Середній вік населення станом на 1 січня","Львівська","2014","41.6"
"Середній вік населення станом на 1 січня","Львівська","2015","41.7"
"Середній вік населення станом на 1 січня","Львівська","2016","41.8"
"Середній вік населення станом на 1 січня","Львівська","2017","41.9"
"Середній вік населення станом на 1 січня","Львівська","2018","42.1"
"Середній вік населення станом на 1 січня","Львівська","2019","42.2"
"Середній вік населення станом на 1 січня","Львівська","2020","42.4"
"Середній вік населення станом на 1 січня","Львівська","2021","42.6"
"Середній вік населення станом на 1 січня","Львівська","2022","42.8"
"Середній вік населення станом на 1 січня","Львівська","2003","35.2"
"Середній вік населення станом на 1 січня","Львівська","2004","35.4"
"Середній вік населення станом на 1 січня","Львівська","2005","35.6"
"Середній вік населення станом на 1 січня","Львівська","2006","35.8"
"Середній вік населення станом на 1 січня","Львівська","2007","35.9"
"Середній вік населення станом на 1 січня","Львівська","2008","36.1"
"Середній вік населення станом на 1 січня","Львівська","2009","36.2"
"Середній вік населення станом на 1 січня","Львівська","2010","36.3"
"Середній вік населення станом на 1 січня","Львівська","2011","36.5"
"Середній вік населення станом на 1 січня","Львівська","2012","36.7"
"Середній вік населення станом на 1 січня","Львівська","2013","36.8"
"Середній вік населення станом на 1 січня","Львівська","2014","36.9"
"Середній вік населення станом на 1 січня","Львівська","2015","37"
"Середній вік населення станом на 1 січня","Львівська","2016","37.1"
"Середній вік населення станом на 1 січня","Львівська","2017","37.3"
"Середній вік населення станом на 1 січня","Львівська","2018","37.5"
"Середній вік населення станом на 1 січня","Львівська","2019","37.7"
"Середній вік населення станом на 1 січня","Львівська","2020","37.9"
"Середній вік населення станом на 1 січня","Львівська","2021","38.1"
"Середній вік населення станом на 1 січня","Львівська","2022","38.2"
"Середній вік населення станом на 1 січня","Львівська","2003","37.6"
"Середній вік населення станом на 1 січня","Львівська","2004","37.8"
"Середній вік населення станом на 1 січня","Львівська","2005","38"
"Середній вік населення станом на 1 січня","Львівська","2006","38.2"
"Середній вік населення станом на 1 січня","Львівська","2007","38.4"
"Середній вік населення станом на 1 січня","Львівська","2008","38.6"
"Середній вік населення станом на 1 січня","Львівська","2009","38.7"
"Середній вік населення станом на 1 січня","Львівська","2010","38.8"
"Середній вік населення станом на 1 січня","Львівська","2011","39"
"Середній вік населення станом на 1 січня","Львівська","2012","39.1"
"Середній вік населення станом на 1 січня","Львівська","2013","39.2"
"Середній вік населення станом на 1 січня","Львівська","2014","39.4"
"Середній вік населення станом на 1 січня","Львівська","2015","39.5"
"Середній вік населення станом на 1 січня","Львівська","2016","39.6"
"Середній вік населення станом на 1 січня","Львівська","2017","39.7"
"Середній вік населення станом на 1 січня","Львівська","2018","39.9"
"Середній вік населення станом на 1 січня","Львівська","2019","40.1"
"Середній вік населення станом на 1 січня","Львівська","2020","40.3"
"Середній вік населення станом на 1 січня","Львівська","2021","40.5"
"Середній вік населення станом на 1 січня","Львівська","2022","40.6"
"Середній вік населення станом на 1 січня","Миколаївська","2003","40.7"
"Середній вік населення станом на 1 січня","Миколаївська","2004","41"
"Середній вік населення станом на 1 січня","Миколаївська","2005","41.2"
"Середній вік населення станом на 1 січня","Миколаївська","2006","41.4"
"Середній вік населення станом на 1 січня","Миколаївська","2007","41.7"
"Середній вік населення станом на 1 січня","Миколаївська","2008","41.9"
"Середній вік населення станом на 1 січня","Миколаївська","2009","42"
"Середній вік населення станом на 1 січня","Миколаївська","2010","42.2"
"Середній вік населення станом на 1 січня","Миколаївська","2011","42.3"
"Середній вік населення станом на 1 січня","Миколаївська","2012","42.5"
"Середній вік населення станом на 1 січня","Миколаївська","2013","42.7"
"Середній вік населення станом на 1 січня","Миколаївська","2014","42.8"
"Середній вік населення станом на 1 січня","Миколаївська","2015","43"
"Середній вік населення станом на 1 січня","Миколаївська","2016","43.2"
"Середній вік населення станом на 1 січня","Миколаївська","2017","43.4"
"Середній вік населення станом на 1 січня","Миколаївська","2018","43.6"
"Середній вік населення станом на 1 січня","Миколаївська","2019","43.8"
"Середній вік населення станом на 1 січня","Миколаївська","2020","44.1"
"Середній вік населення станом на 1 січня","Миколаївська","2021","44.4"
"Середній вік населення станом на 1 січня","Миколаївська","2022","44.6"
"Середній вік населення станом на 1 січня","Миколаївська","2003","36"
"Середній вік населення станом на 1 січня","Миколаївська","2004","36.2"
"Середній вік населення станом на 1 січня","Миколаївська","2005","36.4"
"Середній вік населення станом на 1 січня","Миколаївська","2006","36.6"
"Середній вік населення станом на 1 січня","Миколаївська","2007","36.8"
"Середній вік населення станом на 1 січня","Миколаївська","2008","36.9"
"Середній вік населення станом на 1 січня","Миколаївська","2009","37"
"Середній вік населення станом на 1 січня","Миколаївська","2010","37.2"
"Середній вік населення станом на 1 січня","Миколаївська","2011","37.3"
"Середній вік населення станом на 1 січня","Миколаївська","2012","37.4"
"Середній вік населення станом на 1 січня","Миколаївська","2013","37.5"
"Середній вік населення станом на 1 січня","Миколаївська","2014","37.6"
"Середній вік населення станом на 1 січня","Миколаївська","2015","37.7"
"Середній вік населення станом на 1 січня","Миколаївська","2016","37.8"
"Середній вік населення станом на 1 січня","Миколаївська","2017","38"
"Середній вік населення станом на 1 січня","Миколаївська","2018","38.2"
"Середній вік населення станом на 1 січня","Миколаївська","2019","38.5"
"Середній вік населення станом на 1 січня","Миколаївська","2020","38.7"
"Середній вік населення станом на 1 січня","Миколаївська","2021","38.9"
"Середній вік населення станом на 1 січня","Миколаївська","2022","39.1"
"Середній вік населення станом на 1 січня","Миколаївська","2003","38.5"
"Середній вік населення станом на 1 січня","Миколаївська","2004","38.8"
"Середній вік населення станом на 1 січня","Миколаївська","2005","39"
"Середній вік населення станом на 1 січня","Миколаївська","2006","39.2"
"Середній вік населення станом на 1 січня","Миколаївська","2007","39.4"
"Середній вік населення станом на 1 січня","Миколаївська","2008","39.6"
"Середній вік населення станом на 1 січня","Миколаївська","2009","39.7"
"Середній вік населення станом на 1 січня","Миколаївська","2010","39.9"
"Середній вік населення станом на 1 січня","Миколаївська","2011","40"
"Середній вік населення станом на 1 січня","Миколаївська","2012","40.2"
"Середній вік населення станом на 1 січня","Миколаївська","2013","40.3"
"Середній вік населення станом на 1 січня","Миколаївська","2014","40.4"
"Середній вік населення станом на 1 січня","Миколаївська","2015","40.5"
"Середній вік населення станом на 1 січня","Миколаївська","2016","40.7"
"Середній вік населення станом на 1 січня","Миколаївська","2017","40.9"
"Середній вік населення станом на 1 січня","Миколаївська","2018","41.1"
"Середній вік населення станом на 1 січня","Миколаївська","2019","41.4"
"Середній вік населення станом на 1 січня","Миколаївська","2020","41.6"
"Середній вік населення станом на 1 січня","Миколаївська","2021","41.9"
"Середній вік населення станом на 1 січня","Миколаївська","2022","42"
"Середній вік населення станом на 1 січня","Одеська","2003","40.5"
"Середній вік населення станом на 1 січня","Одеська","2004","40.7"
"Середній вік населення станом на 1 січня","Одеська","2005","40.9"
"Середній вік населення станом на 1 січня","Одеська","2006","41.1"
"Середній вік населення станом на 1 січня","Одеська","2007","41.2"
"Середній вік населення станом на 1 січня","Одеська","2008","41.3"
"Середній вік населення станом на 1 січня","Одеська","2009","41.4"
"Середній вік населення станом на 1 січня","Одеська","2010","41.5"
"Середній вік населення станом на 1 січня","Одеська","2011","41.6"
"Середній вік населення станом на 1 січня","Одеська","2012","41.7"
"Середній вік населення станом на 1 січня","Одеська","2013","41.7"
"Середній вік населення станом на 1 січня","Одеська","2014","41.8"
"Середній вік населення станом на 1 січня","Одеська","2015","41.9"
"Середній вік населення станом на 1 січня","Одеська","2016","42"
"Середній вік населення станом на 1 січня","Одеська","2017","42.2"
"Середній вік населення станом на 1 січня","Одеська","2018","42.3"
"Середній вік населення станом на 1 січня","Одеська","2019","42.5"
"Середній вік населення станом на 1 січня","Одеська","2020","42.7"
"Середній вік населення станом на 1 січня","Одеська","2021","42.9"
"Середній вік населення станом на 1 січня","Одеська","2022","43"
"Середній вік населення станом на 1 січня","Одеська","2003","35.9"
"Середній вік населення станом на 1 січня","Одеська","2004","36.1"
"Середній вік населення станом на 1 січня","Одеська","2005","36.3"
"Середній вік населення станом на 1 січня","Одеська","2006","36.5"
"Середній вік населення станом на 1 січня","Одеська","2007","36.6"
"Середній вік населення станом на 1 січня","Одеська","2008","36.6"
"Середній вік населення станом на 1 січня","Одеська","2009","36.7"
"Середній вік населення станом на 1 січня","Одеська","2010","36.8"
"Середній вік населення станом на 1 січня","Одеська","2011","36.8"
"Середній вік населення станом на 1 січня","Одеська","2012","36.9"
"Середній вік населення станом на 1 січня","Одеська","2013","36.9"
"Середній вік населення станом на 1 січня","Одеська","2014","37"
"Середній вік населення станом на 1 січня","Одеська","2015","37.1"
"Середній вік населення станом на 1 січня","Одеська","2016","37.2"
"Середній вік населення станом на 1 січня","Одеська","2017","37.3"
"Середній вік населення станом на 1 січня","Одеська","2018","37.4"
"Середній вік населення станом на 1 січня","Одеська","2019","37.6"
"Середній вік населення станом на 1 січня","Одеська","2020","37.8"
"Середній вік населення станом на 1 січня","Одеська","2021","38"
"Середній вік населення станом на 1 січня","Одеська","2022","38"
"Середній вік населення станом на 1 січня","Одеська","2003","38.4"
"Середній вік населення станом на 1 січня","Одеська","2004","38.6"
"Середній вік населення станом на 1 січня","Одеська","2005","38.8"
"Середній вік населення станом на 1 січня","Одеська","2006","38.9"
"Середній вік населення станом на 1 січня","Одеська","2007","39"
"Середній вік населення станом на 1 січня","Одеська","2008","39.1"
"Середній вік населення станом на 1 січня","Одеська","2009","39.2"
"Середній вік населення станом на 1 січня","Одеська","2010","39.3"
"Середній вік населення станом на 1 січня","Одеська","2011","39.4"
"Середній вік населення станом на 1 січня","Одеська","2012","39.5"
"Середній вік населення станом на 1 січня","Одеська","2013","39.5"
"Середній вік населення станом на 1 січня","Одеська","2014","39.6"
"Середній вік населення станом на 1 січня","Одеська","2015","39.6"
"Середній вік населення станом на 1 січня","Одеська","2016","39.7"
"Середній вік населення станом на 1 січня","Одеська","2017","39.9"
"Середній вік населення станом на 1 січня","Одеська","2018","40"
"Середній вік населення станом на 1 січня","Одеська","2019","40.2"
"Середній вік населення станом на 1 січня","Одеська","2020","40.4"
"Середній вік населення станом на 1 січня","Одеська","2021","40.6"
"Середній вік населення станом на 1 січня","Одеська","2022","40.6"
"Середній вік населення станом на 1 січня","Полтавська","2003","43.2"
"Середній вік населення станом на 1 січня","Полтавська","2004","43.3"
"Середній вік населення станом на 1 січня","Полтавська","2005","43.5"
"Середній вік населення станом на 1 січня","Полтавська","2006","43.6"
"Середній вік населення станом на 1 січня","Полтавська","2007","43.7"
"Середній вік населення станом на 1 січня","Полтавська","2008","43.9"
"Середній вік населення станом на 1 січня","Полтавська","2009","43.9"
"Середній вік населення станом на 1 січня","Полтавська","2010","44"
"Середній вік населення станом на 1 січня","Полтавська","2011","44.1"
"Середній вік населення станом на 1 січня","Полтавська","2012","44.2"
"Середній вік населення станом на 1 січня","Полтавська","2013","44.3"
"Середній вік населення станом на 1 січня","Полтавська","2014","44.4"
"Середній вік населення станом на 1 січня","Полтавська","2015","44.5"
"Середній вік населення станом на 1 січня","Полтавська","2016","44.6"
"Середній вік населення станом на 1 січня","Полтавська","2017","44.7"
"Середній вік населення станом на 1 січня","Полтавська","2018","44.9"
"Середній вік населення станом на 1 січня","Полтавська","2019","45.1"
"Середній вік населення станом на 1 січня","Полтавська","2020","45.3"
"Середній вік населення станом на 1 січня","Полтавська","2021","45.5"
"Середній вік населення станом на 1 січня","Полтавська","2022","45.6"
"Середній вік населення станом на 1 січня","Полтавська","2003","37.6"
"Середній вік населення станом на 1 січня","Полтавська","2004","37.8"
"Середній вік населення станом на 1 січня","Полтавська","2005","38"
"Середній вік населення станом на 1 січня","Полтавська","2006","38.1"
"Середній вік населення станом на 1 січня","Полтавська","2007","38.2"
"Середній вік населення станом на 1 січня","Полтавська","2008","38.4"
"Середній вік населення станом на 1 січня","Полтавська","2009","38.4"
"Середній вік населення станом на 1 січня","Полтавська","2010","38.5"
"Середній вік населення станом на 1 січня","Полтавська","2011","38.6"
"Середній вік населення станом на 1 січня","Полтавська","2012","38.7"
"Середній вік населення станом на 1 січня","Полтавська","2013","38.8"
"Середній вік населення станом на 1 січня","Полтавська","2014","38.9"
"Середній вік населення станом на 1 січня","Полтавська","2015","39"
"Середній вік населення станом на 1 січня","Полтавська","2016","39.1"
"Середній вік населення станом на 1 січня","Полтавська","2017","39.2"
"Середній вік населення станом на 1 січня","Полтавська","2018","39.4"
"Середній вік населення станом на 1 січня","Полтавська","2019","39.5"
"Середній вік населення станом на 1 січня","Полтавська","2020","39.7"
"Середній вік населення станом на 1 січня","Полтавська","2021","39.9"
"Середній вік населення станом на 1 січня","Полтавська","2022","40"
"Середній вік населення станом на 1 січня","Полтавська","2003","40.6"
